250,2.07,1.17,34.05,2.41,52.59,0,9.78
275,5.85,1.63,37.43,1.42,53.21,0,6.31
300,14.97,3.02,46.94,4.71,35.16,1,9.17
325,19.68,7.97,49.7,14.69,15.16,2.13,10.35
350,36.8,12.46,47.21,18.66,9.22,1.69,10.76
250,4.6,0.61,18.07,0.94,72.99,0,7.39
275,17.2,0.51,17.28,1.43,72.62,0,8.16
300,38.92,0.85,19.6,2.21,67.5,0,9.84
325,56.38,1.43,30.62,3.79,51.21,0,12.95
350,67.88,2.76,39.1,4.2,36.92,1.87,15.15
250,9.7,0.13,5.5,1.23,85.09,3.97,4.08
275,19.2,0.33,8.04,1.71,82.07,2.88,4.97
300,29.3,0.71,17.01,3.63,66.9,3.18,8.57
325,37.6,1.83,28.72,5.72,49.77,3.44,10.52
350,48.9,2.85,36.85,7.23,38.29,3.51,11.27
400,83.7,6.76,53.43,8.95,14.37,3.38,13.11
450,86.4,14.84,49.9,8.39,12.41,2.09,12.37
250,4,0.27,9.62,1.49,79.51,6.53,2.58
275,12.1,0.36,8.62,1.66,81.44,5.18,2.74
300,29.5,0.54,10.72,2.41,76.32,5.88,4.13
325,43.3,1.02,18.89,4.42,59.65,7.64,8.38
350,60.5,2.23,27.25,6.8,45,8.73,9.99
400,88.4,3.67,41.02,10.82,16.47,10.51,17.51
250,14.8,0.14,1.96,3.27,88.42,3.36,2.85
275,12.4,0.19,6.65,11.27,70.05,5.77,6.07
300,20.8,0.74,10.12,13.18,62.45,5.66,7.85
325,28.3,1.14,13.86,15.83,56.28,2.92,9.97
350,36.8,3.11,18.75,16.16,48,4.36,9.62
400,76,6.38,38.23,9.64,25.72,3.71,16.32
250,13.4,0.2,3.3,11.59,80.23,1.04,3.64
275,12.8,0.38,7.1,26.67,55.7,2.02,8.13
300,25.5,1.46,7.18,28.51,51.07,2.12,9.66
350,55.8,14.49,10.65,42.75,19.83,3.74,8.54
400,83.3,6.18,37.33,16.08,19.48,7.61,13.32
250,19.7,0.18,5.75,3.69,87.26,0,3.12
275,29,0.31,6.56,3.27,84.43,0,5.43
300,40,0.57,8.84,3.98,79.99,0,6.62
350,58.6,2.28,18.64,8.23,45.04,3.24,22.57
400,76,8.31,33.25,5.79,24.57,6.76,21.32
250,6.3,0.14,5.63,1.59,86.5,0,6.14
275,8.8,0.2,8.52,4.31,82.26,0,4.71
300,13.2,0.52,13.82,4.6,72.79,0,8.27
350,31.7,1.45,25.89,4.15,48.52,2.25,17.74
400,56.1,6.4,41.42,4.32,24.15,0,23.71
250,2.1,0.16,5.4,4.99,81.93,0,7.52
275,3,0.33,9.68,4.66,75.09,0,10.24
300,4.7,0.53,16.1,5.08,61.02,1.57,15.7
350,13.4,2.84,31.04,3.75,39.29,2.09,20.99
400,40.8,6.36,42.04,4.71,27.07,0,19.82
250,0.3,1.06,2.19,12.49,83.06,0,1.2
275,1,0.58,1.65,4.67,92.77,0,0.33
300,1.7,0.8,2.17,5.8,90.32,0,0.91
350,9,0.81,3.3,4.3,88.98,0.7,1.91
400,28.6,1.93,10.29,3.68,79.2,0,4.9
250,0.2,2.14,0.1,97.76,0,0,0
275,0.5,2.83,1,94.75,0,0,1.42
300,1.6,3.24,1.82,93.76,0,0,1.18
350,8.2,7.61,4.35,85.83,0,0,2.21
400,32.6,13.35,7.93,75.03,0,0,3.69
250,1.4,0.14,6.17,3.48,81.43,7.45,1.33
275,3.5,0.18,8.11,4.2,80,5.3,2.21
300,6.9,0.43,11.22,8.83,71.28,5.34,2.9
350,19.9,1.17,22.26,13.48,46.5,5.66,10.93
400,44.5,3.63,36.3,16.25,25.79,5.32,12.71
250,1.3,0.31,5.19,5.39,79.6,6.87,2.64
275,2.3,0.66,7.62,7.67,74.74,5.91,3.4
300,4.1,1.2,12.74,19.65,55.4,4.87,6.14
350,14.6,2.53,23.46,26.42,30.99,3.52,13.08
400,40,5.19,27.91,24.73,22.05,3.85,16.27
250,2.5,0.14,1.89,2.63,90.74,3.18,1.42
275,5.3,0.14,2.55,2.8,89.7,2.85,1.96
300,10.2,0.25,3.61,4.07,85.12,3.43,3.52
350,24,1.04,10.83,6.25,70.1,4.59,7.19
400,53.6,2.92,22.3,7.22,49.31,7.48,10.77
250,1.4,0.1,6.32,5.7,83.4,0,4.48
275,3.4,0.19,8.25,4.03,81.35,0,6.18
300,6.7,0.45,12.28,4.11,73.45,0,9.71
350,19.3,1.22,25.97,4.4,48.32,2.44,17.65
400,43.6,3.77,41.08,4.13,26.79,1.95,22.28
250,2.8,0.2,3.26,2.78,89.53,0,4.23
275,4.4,0.32,4.97,3.92,83.2,0,7.59
300,6.2,0.72,9.32,5.21,71.37,3.09,10.29
350,16.2,2.11,22.88,6.07,47.39,4.74,16.81
400,45.1,8.1,38.7,7.12,24.22,4.34,17.52
250,0.4,0.31,2.85,18.98,76.81,0,1.05
275,0.6,0.42,5.35,19.79,73.56,0,0.88
300,1.1,0.74,7.61,19.86,70.07,0,1.72
325,3.3,1.16,7.74,16.61,67.57,3.77,3.15
350,6,1.81,13.81,20.27,53.38,4.64,6.09
400,21.1,3.79,21.21,19.72,39.51,4.88,10.89
250,0.5,0.1,6.62,6.91,82.18,4.19,0
275,1.1,0.32,6.62,2.93,83.06,1.93,5.14
300,3,0.31,5.05,8.47,78.11,4.04,4.02
325,6.1,0.69,8.33,12.29,70.48,3.89,4.32
350,9.6,0.76,13.1,14.26,59.75,3.89,8.24
400,33.5,2.68,21.45,15.15,43.12,5.21,12.39
250,2.1,0.18,4.3,3.98,84.81,4.76,1.97
275,3.8,0.35,5.06,7.67,78.13,4.22,4.57
300,5.8,0.47,7.92,14.04,66.89,4.41,6.27
325,9.8,0.77,11.69,14.62,59.29,5.28,8.35
350,15.9,1.57,15.34,15.03,53.41,4.14,10.51
400,45,3.93,25.83,13.82,36.87,6.16,13.39
250,2.8,0.23,4.5,1.97,85.16,4.87,3.27
275,7.5,0.15,4.79,2.16,86.83,3.82,2.25
300,12.6,0.5,8.77,4.81,74.9,5.05,5.97
325,15.9,1.04,16.06,7.44,57.98,6.75,10.73
350,27,0.99,22.41,9.95,48.26,4.44,13.95
400,63.2,4.11,30.48,11.12,34.9,4.71,14.68
250,4.4,0.13,4.08,2.04,86.01,4.79,2.95
275,7.9,0.15,6.62,3.49,79.79,5.67,4.28
300,11.7,0.2,12.86,6.47,68.02,6.71,5.74
325,17.8,1.42,18.45,7.94,59.12,7.14,5.93
350,30.2,1.53,25.05,10.3,49.36,6.3,7.46
400,69.4,2.51,38.17,13.96,26.64,4.71,14.01
